Analysis Type:	PANTHER Overrepresentation Test (release 20160715)
Annotation Version and Release Date:	GO Ontology database  Released 2017-02-28
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Bonferroni correction:	true
Bonferroni count:	8204
GO biological process complete	Homo sapiens - REFLIST (20972)	upload_1 (453)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
cellular localization (GO:0051641)	2037	121	44.00	+	2.75	4.03E-21
response to abiotic stimulus (GO:0009628)	1079	64	23.31	+	2.75	3.50E-09
enzyme linked receptor protein signaling pathway (GO:0007167)	711	42	15.36	+	2.73	5.74E-05
single-organism transport (GO:0044765)	2524	149	54.52	+	2.73	2.12E-27
response to growth factor (GO:0070848)	492	29	10.63	+	2.73	1.38E-02
regulation of cell adhesion (GO:0030155)	647	38	13.98	+	2.72	3.59E-04
response to organonitrogen compound (GO:0010243)	769	45	16.61	+	2.71	2.13E-05
protein localization (GO:0008104)	1918	112	41.43	+	2.70	1.55E-18
regulation of establishment of protein localization (GO:0070201)	823	48	17.78	+	2.70	6.71E-06
single-organism localization (GO:1902578)	2667	155	57.61	+	2.69	4.19E-28
regulation of peptide transport (GO:0090087)	777	45	16.78	+	2.68	2.90E-05
regulation of cellular localization (GO:0060341)	847	49	18.30	+	2.68	5.75E-06
cellular response to hormone stimulus (GO:0032870)	537	31	11.60	+	2.67	9.28E-03
immune system process (GO:0002376)	2504	144	54.09	+	2.66	5.03E-25
regulation of protein transport (GO:0051223)	748	43	16.16	+	2.66	8.17E-05
nitrogen compound transport (GO:0071705)	1709	98	36.91	+	2.65	4.58E-15
single-organism membrane organization (GO:0044802)	634	36	13.69	+	2.63	1.84E-03
cellular response to stress (GO:0033554)	1523	86	32.90	+	2.61	2.59E-12
regulation of protein localization (GO:0032880)	972	54	21.00	+	2.57	3.01E-06
positive regulation of apoptotic process (GO:0043065)	580	32	12.53	+	2.55	1.60E-02
regulation of response to external stimulus (GO:0032101)	689	38	14.88	+	2.55	1.72E-03
regulation of kinase activity (GO:0043549)	801	44	17.30	+	2.54	2.00E-04
mitotic cell cycle process (GO:1903047)	766	42	16.55	+	2.54	4.47E-04
positive regulation of programmed cell death (GO:0043068)	586	32	12.66	+	2.53	1.97E-02
positive regulation of signal transduction (GO:0009967)	1432	78	30.93	+	2.52	5.23E-10
membrane organization (GO:0061024)	992	54	21.43	+	2.52	6.14E-06
mitotic cell cycle (GO:0000278)	794	43	17.15	+	2.51	4.32E-04
response to nitrogen compound (GO:1901698)	868	47	18.75	+	2.51	9.97E-05
organic substance transport (GO:0071702)	2053	111	44.35	+	2.50	8.76E-16
regulation of protein kinase activity (GO:0045859)	741	40	16.01	+	2.50	1.40E-03
negative regulation of molecular function (GO:0044092)	1113	60	24.04	+	2.50	9.11E-07
immune response (GO:0006955)	1639	88	35.40	+	2.49	2.06E-11
cell death (GO:0008219)	1062	57	22.94	+	2.48	3.30E-06
programmed cell death (GO:0012501)	1026	55	22.16	+	2.48	7.23E-06
regulation of cell death (GO:0010941)	1514	81	32.70	+	2.48	4.03E-10
cellular macromolecular complex assembly (GO:0034622)	767	41	16.57	+	2.47	1.26E-03
negative regulation of cell death (GO:0060548)	900	48	19.44	+	2.47	1.09E-04
negative regulation of programmed cell death (GO:0043069)	829	44	17.91	+	2.46	5.26E-04
regulation of programmed cell death (GO:0043067)	1416	75	30.59	+	2.45	6.76E-09
organophosphate metabolic process (GO:0019637)	967	51	20.89	+	2.44	5.32E-05
negative regulation of apoptotic process (GO:0043066)	818	43	17.67	+	2.43	9.71E-04
macromolecule localization (GO:0033036)	2210	116	47.74	+	2.43	9.80E-16
cellular macromolecule catabolic process (GO:0044265)	820	43	17.71	+	2.43	1.04E-03
macromolecule catabolic process (GO:0009057)	959	50	20.71	+	2.41	1.09E-04
regulation of apoptotic process (GO:0042981)	1403	73	30.31	+	2.41	3.30E-08
positive regulation of catalytic activity (GO:0043085)	1598	83	34.52	+	2.40	8.96E-10
epithelial cell differentiation (GO:0030855)	656	34	14.17	+	2.40	2.91E-02
negative regulation of signal transduction (GO:0009968)	1102	57	23.80	+	2.39	1.25E-05
negative regulation of response to stimulus (GO:0048585)	1373	71	29.66	+	2.39	9.02E-08
transport (GO:0006810)	4374	226	94.48	+	2.39	1.19E-38
regulation of protein modification process (GO:0031399)	1666	86	35.99	+	2.39	4.08E-10
innate immune response (GO:0045087)	662	34	14.30	+	2.38	3.52E-02
establishment of localization (GO:0051234)	4502	230	97.24	+	2.37	7.35E-39
phosphorylation (GO:0016310)	1294	66	27.95	+	2.36	9.50E-07
positive regulation of molecular function (GO:0044093)	1885	96	40.72	+	2.36	2.15E-11
regulation of anatomical structure morphogenesis (GO:0022603)	944	48	20.39	+	2.35	4.58E-04
positive regulation of signaling (GO:0023056)	1561	79	33.72	+	2.34	1.45E-08
positive regulation of cell communication (GO:0010647)	1553	78	33.55	+	2.33	2.99E-08
response to stress (GO:0006950)	3246	161	70.11	+	2.30	8.32E-22
response to other organism (GO:0051707)	790	39	17.06	+	2.29	1.74E-02
response to external biotic stimulus (GO:0043207)	791	39	17.09	+	2.28	1.80E-02
negative regulation of cell communication (GO:0010648)	1203	59	25.99	+	2.27	4.31E-05
response to organic substance (GO:0010033)	2576	126	55.64	+	2.26	4.76E-15
negative regulation of signaling (GO:0023057)	1207	59	26.07	+	2.26	4.86E-05
positive regulation of response to stimulus (GO:0048584)	2070	101	44.71	+	2.26	5.07E-11
movement of cell or subcellular component (GO:0006928)	1418	69	30.63	+	2.25	2.48E-06
positive regulation of hydrolase activity (GO:0051345)	947	46	20.46	+	2.25	3.16E-03
response to biotic stimulus (GO:0009607)	824	40	17.80	+	2.25	1.92E-02
response to oxygen-containing compound (GO:1901700)	1402	68	30.28	+	2.25	3.89E-06
homeostatic process (GO:0042592)	1404	68	30.33	+	2.24	4.13E-06
regulation of cellular protein metabolic process (GO:0032268)	2359	114	50.95	+	2.24	9.86E-13
positive regulation of protein modification process (GO:0031401)	1142	55	24.67	+	2.23	2.75E-04
positive regulation of cellular protein metabolic process (GO:0032270)	1435	69	31.00	+	2.23	4.07E-06
regulation of protein metabolic process (GO:0051246)	2541	122	54.89	+	2.22	9.06E-14
response to endogenous stimulus (GO:0009719)	1400	67	30.24	+	2.22	9.14E-06
regulation of cell cycle (GO:0051726)	1003	48	21.67	+	2.22	2.65E-03
macromolecular complex assembly (GO:0065003)	1380	66	29.81	+	2.21	1.27E-05
positive regulation of intracellular signal transduction (GO:1902533)	902	43	19.48	+	2.21	1.25E-02
regulation of hydrolase activity (GO:0051336)	1366	65	29.51	+	2.20	2.10E-05
cellular catabolic process (GO:0044248)	1581	75	34.15	+	2.20	1.15E-06
regulation of phosphorylation (GO:0042325)	1392	66	30.07	+	2.20	1.79E-05
cytoskeleton organization (GO:0007010)	952	45	20.56	+	2.19	8.81E-03
cellular response to organic substance (GO:0071310)	1928	91	41.65	+	2.19	1.01E-08
biological adhesion (GO:0022610)	869	41	18.77	+	2.18	2.84E-02
regulation of catalytic activity (GO:0050790)	2418	114	52.23	+	2.18	5.71E-12
response to organic cyclic compound (GO:0014070)	871	41	18.81	+	2.18	3.00E-02
regulation of protein phosphorylation (GO:0001932)	1297	61	28.02	+	2.18	1.06E-04
cell cycle process (GO:0022402)	1091	51	23.57	+	2.16	2.23E-03
cellular response to chemical stimulus (GO:0070887)	2361	110	51.00	+	2.16	4.90E-11
positive regulation of protein metabolic process (GO:0051247)	1529	71	33.03	+	2.15	9.54E-06
transmembrane transport (GO:0055085)	1208	56	26.09	+	2.15	7.16E-04
protein phosphorylation (GO:0006468)	976	45	21.08	+	2.13	1.69E-02
multi-organism process (GO:0051704)	2235	103	48.28	+	2.13	9.31E-10
positive regulation of transport (GO:0051050)	916	42	19.79	+	2.12	4.30E-02
phosphorus metabolic process (GO:0006793)	2182	100	47.13	+	2.12	3.30E-09
cellular response to endogenous stimulus (GO:0071495)	1030	47	22.25	+	2.11	1.30E-02
localization (GO:0051179)	5371	245	116.01	+	2.11	4.83E-34
positive regulation of cellular component organization (GO:0051130)	1163	53	25.12	+	2.11	2.77E-03
phosphate-containing compound metabolic process (GO:0006796)	2092	95	45.19	+	2.10	2.53E-08
macromolecular complex subunit organization (GO:0043933)	1616	73	34.91	+	2.09	1.72E-05
single-organism organelle organization (GO:1902589)	1316	59	28.43	+	2.08	9.62E-04
catabolic process (GO:0009056)	1886	84	40.74	+	2.06	1.60E-06
single-organism biosynthetic process (GO:0044711)	1172	52	25.32	+	2.05	7.92E-03
intracellular signal transduction (GO:0035556)	1627	72	35.14	+	2.05	5.27E-05
epithelium development (GO:0060429)	1067	47	23.05	+	2.04	3.31E-02
organic substance catabolic process (GO:1901575)	1594	70	34.43	+	2.03	1.20E-04
regulation of molecular function (GO:0065009)	2984	131	64.46	+	2.03	4.72E-12
carbohydrate derivative metabolic process (GO:1901135)	1074	47	23.20	+	2.03	3.92E-02
regulation of phosphate metabolic process (GO:0019220)	1625	71	35.10	+	2.02	1.14E-04
regulation of biological quality (GO:0065008)	3510	153	75.82	+	2.02	7.97E-15
negative regulation of macromolecule metabolic process (GO:0010605)	2462	107	53.18	+	2.01	1.08E-08
regulation of phosphorus metabolic process (GO:0051174)	1638	71	35.38	+	2.01	1.56E-04
regulation of intracellular signal transduction (GO:1902531)	1721	74	37.17	+	1.99	1.03E-04
regulation of signal transduction (GO:0009966)	2751	118	59.42	+	1.99	1.18E-09
cell cycle (GO:0007049)	1337	57	28.88	+	1.97	7.92E-03
regulation of response to stimulus (GO:0048583)	3730	157	80.57	+	1.95	5.92E-14
tissue development (GO:0009888)	1643	69	35.49	+	1.94	8.47E-04
negative regulation of metabolic process (GO:0009892)	2699	112	58.30	+	1.92	5.07E-08
response to chemical (GO:0042221)	3864	160	83.46	+	1.92	1.11E-13
negative regulation of cellular metabolic process (GO:0031324)	2372	98	51.24	+	1.91	2.04E-06
regulation of signaling (GO:0023051)	3105	128	67.07	+	1.91	1.28E-09
regulation of cell communication (GO:0010646)	3054	125	65.97	+	1.89	4.62E-09
cellular component assembly (GO:0022607)	2202	89	47.56	+	1.87	4.86E-05
regulation of transport (GO:0051049)	1815	73	39.20	+	1.86	1.80E-03
small molecule metabolic process (GO:0044281)	1768	71	38.19	+	1.86	2.88E-03
response to external stimulus (GO:0009605)	1776	71	38.36	+	1.85	3.40E-03
regulation of multicellular organismal process (GO:0051239)	2648	105	57.20	+	1.84	3.88E-06
organelle organization (GO:0006996)	3186	125	68.82	+	1.82	8.44E-08
single-organism metabolic process (GO:0044710)	3544	139	76.55	+	1.82	3.24E-09
regulation of developmental process (GO:0050793)	2252	88	48.64	+	1.81	2.85E-04
cellular component biogenesis (GO:0044085)	2457	96	53.07	+	1.81	5.69E-05
regulation of multicellular organismal development (GO:2000026)	1708	66	36.89	+	1.79	2.88E-02
regulation of localization (GO:0032879)	2491	96	53.81	+	1.78	1.12E-04
positive regulation of cellular metabolic process (GO:0031325)	2901	111	62.66	+	1.77	8.20E-06
organonitrogen compound metabolic process (GO:1901564)	1835	70	39.64	+	1.77	2.17E-02
positive regulation of metabolic process (GO:0009893)	3095	118	66.85	+	1.77	2.42E-06
cell surface receptor signaling pathway (GO:0007166)	2204	82	47.61	+	1.72	6.88E-03
positive regulation of macromolecule metabolic process (GO:0010604)	2862	105	61.82	+	1.70	2.48E-04
regulation of cellular component organization (GO:0051128)	2298	84	49.64	+	1.69	9.97E-03
negative regulation of cellular process (GO:0048523)	4261	155	92.04	+	1.68	3.29E-08
animal organ development (GO:0048513)	2950	107	63.72	+	1.68	3.16E-04
negative regulation of biological process (GO:0048519)	4737	170	102.32	+	1.66	4.53E-09
cellular protein metabolic process (GO:0044267)	3589	125	77.52	+	1.61	1.54E-04
positive regulation of biological process (GO:0048518)	5321	183	114.93	+	1.59	1.54E-08
cellular component organization (GO:0016043)	5278	180	114.01	+	1.58	5.87E-08
cell differentiation (GO:0030154)	3453	117	74.59	+	1.57	2.32E-03
cellular developmental process (GO:0048869)	3527	119	76.18	+	1.56	2.20E-03
positive regulation of cellular process (GO:0048522)	4774	160	103.12	+	1.55	7.72E-06
cellular component organization or biogenesis (GO:0071840)	5493	184	118.65	+	1.55	1.42E-07
system development (GO:0048731)	4141	135	89.45	+	1.51	1.76E-03
response to stimulus (GO:0050896)	7845	254	169.45	+	1.50	5.16E-12
protein metabolic process (GO:0019538)	4326	140	93.44	+	1.50	1.43E-03
regulation of macromolecule metabolic process (GO:0060255)	5910	188	127.66	+	1.47	6.93E-06
regulation of metabolic process (GO:0019222)	6380	198	137.81	+	1.44	1.41E-05
cellular response to stimulus (GO:0051716)	6215	192	134.25	+	1.43	4.72E-05
anatomical structure development (GO:0048856)	5059	156	109.28	+	1.43	4.25E-03
regulation of primary metabolic process (GO:0080090)	5802	178	125.32	+	1.42	4.80E-04
single-organism cellular process (GO:0044763)	9816	299	212.03	+	1.41	1.20E-12
single-multicellular organism process (GO:0044707)	5505	167	118.91	+	1.40	3.72E-03
regulation of cellular metabolic process (GO:0031323)	5950	180	128.52	+	1.40	1.08E-03
developmental process (GO:0032502)	5415	161	116.97	+	1.38	2.49E-02
single-organism developmental process (GO:0044767)	5332	158	115.17	+	1.37	4.03E-02
single-organism process (GO:0044699)	12669	354	273.65	+	1.29	5.99E-12
cellular metabolic process (GO:0044237)	8823	245	190.58	+	1.29	1.45E-03
primary metabolic process (GO:0044238)	8972	245	193.80	+	1.26	7.04E-03
metabolic process (GO:0008152)	9790	263	211.47	+	1.24	6.42E-03
organic substance metabolic process (GO:0071704)	9316	250	201.23	+	1.24	2.24E-02
biological regulation (GO:0065007)	11693	299	252.57	+	1.18	4.58E-02
cellular process (GO:0009987)	14892	369	321.67	+	1.15	1.76E-03
biological_process (GO:0008150)	17240	416	372.39	+	1.12	2.99E-05
Unclassified (UNCLASSIFIED)	3732	37	80.61	-	.46	0.00E00
